criterion,subcriterion,main_weight,local_weight,final_weight,CR
Economic,Production Cost,0.40,0.6523,0.2609,0.0032
Economic,Expected Profitability,0.40,0.2174,0.0870,0.0032
Economic,Financing Needs,0.40,0.1304,0.0522,0.0032
Agronomic,Expected Productivity,0.25,0.5455,0.1364,0.0079
Agronomic,Crop Compatibility,0.25,0.2727,0.0682,0.0079
Agronomic,Soil Impact,0.25,0.1818,0.0455,0.0079
Environmental,Efficient Land Use,0.20,0.7059,0.1412,0.0084
Environmental,Carbon Footprint,0.20,0.1764,0.0353,0.0084
Environmental,Chemical Input Dependency,0.20,0.1176,0.0235,0.0084
Logistical,Storage Infrastructure,0.15,0.5882,0.0882,0.0036
Logistical,Production Flow,0.15,0.2941,0.0441,0.0036
Logistical,Market Access,0.15,0.1176,0.0176,0.0036
