iteration,w_E,w_A,w_En,w_L,U_A,U_B,U_C,ranking_preserved
0,0.41162315649035897,0.2261884345170187,0.2120915180943897,0.15009689089823286,0.8880883979425195,0.5961621778227104,0.24317905569079193,True
1,0.32827773879687844,0.2915317135431699,0.21641450252194885,0.16377604513800265,0.8853570601900188,0.5972365612288971,0.2476222666880927,True
2,0.3581151111139931,0.2577165696617387,0.19947680068415036,0.18469151854011784,0.8863748499538676,0.5925934017989073,0.24153789530119404,True
3,0.40894971486503406,0.27288824893888913,0.18897210987017488,0.12918992632590187,0.8866180547440673,0.5962841946735938,0.24166180569638387,True
4,0.4090503143444547,0.20654166130288484,0.22638579577248827,0.15802222858017212,0.8887146129446107,0.5967357724689227,0.2447938260126891,True
5,0.40560496150050734,0.21641067667450697,0.21843573725051812,0.15954862457446756,0.8883197995540129,0.5959005985733064,0.243681431636789,True
6,0.45178292636189826,0.22303893135719047,0.20055230582025232,0.12462583646065888,0.8885983790781151,0.5967826352014759,0.24123056983825786,True
7,0.3410632817715312,0.26548471216265696,0.21727293198598369,0.17617907407982808,0.8861798759105274,0.5956496144930444,0.24593507086439764,True
8,0.3966824254405048,0.2526844132741639,0.21059822603400127,0.14003493525132993,0.8872144696196225,0.5974908582730463,0.24470064020366197,True
9,0.367743193021227,0.26715293036271726,0.1922443509156008,0.17285952570045499,0.8861927092879497,0.5929347770680529,0.2408903465276419,True
10,0.3793323578881418,0.27555896570507243,0.2101424043642546,0.13496627204253114,0.8864057491540156,0.5984407346492333,0.24609608308619213,True
11,0.4267315403808132,0.26411803175908677,0.17985855778618115,0.129291870073919,0.8869657849442777,0.5949468334699266,0.23923334477155359,True
12,0.45678502073568494,0.22772798713603873,0.187304156222282,0.12818283590599427,0.8883798259502468,0.5950054638911534,0.23865128521805384,True
13,0.40698025592812687,0.2432210065469567,0.19752041121187713,0.15227832631303936,0.8874146402974415,0.5946551116399634,0.24109311211435488,True
14,0.41485100302042965,0.27086248547076863,0.18050576188178227,0.13378074962701944,0.8866383161159423,0.5948285232094905,0.23965547271423862,True
15,0.40849171268978657,0.23642941487914598,0.19634922191194565,0.1587296505191217,0.887583376241109,0.593807263327966,0.24027970414258504,True
16,0.4133351621607064,0.25037879468197183,0.20074447783649776,0.13554156532082406,0.887380929013752,0.5966085223819347,0.2426194882298453,True
17,0.3649755779841367,0.2737020285562341,0.19900094119694361,0.16232145226268566,0.8860872038568159,0.5947896002261139,0.24296038187226243,True
18,0.46515654267997947,0.2276079520486471,0.16777037147019788,0.13946513380117556,0.8882404401063074,0.5917069666359883,0.23427564438198947,True
19,0.3652353424102269,0.2649297599104883,0.20359283559955724,0.16624206207972747,0.8863632137619437,0.5947973900993572,0.2432975871393091,True
20,0.4170855641284884,0.23544273375286207,0.2202607279215489,0.12721097419710073,0.8880586410025699,0.5992750323407182,0.2460201102359701,True
21,0.36033791591144576,0.23270844510886968,0.24248861411997977,0.16446502485970474,0.8875903253535254,0.5988270501165178,0.24955086154996325,True
22,0.3718828266609656,0.2689665205441457,0.18517058251958404,0.17398007027530463,0.8861141506653128,0.5920323110114795,0.23949194034467733,True
23,0.4028977884864527,0.24510601487134578,0.18953697687914783,0.16245921976305375,0.8872008954625205,0.5928977243991459,0.23927785238325674,True
24,0.4046757735531558,0.2235627580678063,0.18145082150059802,0.19031064687843993,0.8876322757452325,0.5890701844877969,0.23559612335423533,True
25,0.42508978561936595,0.24660178983797781,0.1655787269776344,0.16272969756502179,0.8871662968240526,0.5900122632901599,0.23435490852964813,True
26,0.4240051229673593,0.25910368510791326,0.186872062448239,0.13001912947648844,0.8871408747436683,0.5956075442608068,0.24038154046661112,True
27,0.3514903376635823,0.30416460803436235,0.2058732490558773,0.138471805246178,0.8852536018980918,0.598369425909611,0.24681731237989085,True
28,0.37941985105231235,0.26523891820807544,0.17908203398703054,0.17625919675258162,0.8862315263257,0.5910113989853805,0.23794001756496583,True
29,0.41422501003920925,0.255225121221393,0.1826040658623352,0.14794580287706255,0.8870315301523114,0.5935138627715327,0.23880189870347052,True
30,0.4175711202756295,0.2676222581538234,0.1684153930697878,0.1463912285007593,0.88659148842268,0.5922419282097404,0.23661524643346662,True
31,0.36657140636832447,0.27987221269102924,0.2091630515163176,0.14439332942432867,0.8861013312779528,0.5976560860765869,0.24590777561981092,True
32,0.3563339901717215,0.27398034568854,0.18385826809850087,0.1858273960412377,0.8857473889544643,0.5910258946926559,0.2392140456165269,True
33,0.4229955230963306,0.24038451795533333,0.21230524855850252,0.12431471038983359,0.8879193732717992,0.5986771045759848,0.24472612643201386,True
34,0.4427396655474197,0.23216837027896017,0.20821406215324414,0.11687790202037597,0.8883510406217761,0.5985834345386618,0.24357211556928854,True
35,0.38394137940525475,0.24035405951419508,0.22680098982399266,0.14890357125655748,0.8875419095909527,0.5984057454846116,0.2471254949308063,True
36,0.41215303714265017,0.23608876802558293,0.19425254928356364,0.15750564554820334,0.8876169477488108,0.593645447175107,0.2398526347045211,True
37,0.3932697248479028,0.20373813260124832,0.22786703524463833,0.17512510730621053,0.8885693389292637,0.5954338698359462,0.2445002363400527,True
38,0.36946076104061115,0.27555675124672874,0.18199657274382264,0.17298591496883758,0.8858777418307574,0.5918990627401393,0.23924644248348687,True
39,0.3595261056648008,0.26195579721518136,0.21488936399002573,0.163628733129992,0.8865038078730207,0.5963044841016639,0.2455471714197122,True
40,0.36281653336130504,0.31371778364273756,0.1919492313281874,0.13151645166777012,0.8850027071258781,0.5975015429386895,0.2446544246045516,True
41,0.39277215097557056,0.2278096916517757,0.21751991896492057,0.16189823840773312,0.8878457579313243,0.595888797730338,0.24410861050151395,True
42,0.3706647475574085,0.29522823173932583,0.18323512776451004,0.15087189293875555,0.885441946870144,0.5943764522022533,0.2412399309571243,True
43,0.3797832978962916,0.30891998131491666,0.18220182108548424,0.12909489970330748,0.8852348288820876,0.5963973659206009,0.2423943248656933,True
44,0.35905832059694964,0.27576861367075706,0.21319084154464307,0.15198222418765037,0.8861435447624633,0.5974131763144307,0.24631144240110567,True
45,0.4234291021275653,0.2648861680160222,0.1844750076822037,0.12720972217420876,0.8869615352556484,0.5956972294929446,0.2402965754748852,True
46,0.4325994019744485,0.25961127044532917,0.1852161451564661,0.1225731824237562,0.8872328185153388,0.5960335873085273,0.24025571091762726,True
47,0.42456882515618577,0.21856656750274947,0.22697029722873194,0.12989431011233285,0.8886636170114157,0.5994331398355349,0.24634895784388167,True
48,0.36687380539453507,0.3058112113445325,0.1860748225868047,0.14124016067412776,0.8851716615193911,0.5957858058176151,0.24270866149506531,True
49,0.4086711814417995,0.2824590392161603,0.17266013161380528,0.13620964772823482,0.8861633363447551,0.5939759921728639,0.23864469364312146,True
50,0.4152117624347706,0.2776731697125409,0.1869257842824656,0.1201892835702229,0.8865680609674081,0.5969009059714062,0.24174863610228842,True
51,0.3676740599435036,0.25441056956178765,0.19459794599145255,0.18331742450325603,0.8865283736874826,0.5920308530628209,0.24035694792195728,True
52,0.35344208038982766,0.26093084139621303,0.22439700548759828,0.1612300727263611,0.8865679578031906,0.5976272872239197,0.24753356531189363,True
53,0.34712238312691024,0.2765550169225352,0.2142442556086854,0.16207834434186913,0.8859632464394366,0.5967290155603633,0.24632082938449437,True
54,0.36608080322711206,0.22801631540980175,0.25145363831338946,0.15444924304969684,0.88790899473609,0.6006176257510059,0.25139990382473343,True
55,0.36545592187607145,0.2470360866011145,0.21146918642351095,0.17603880509930317,0.8869014032548186,0.5944845223184103,0.24362821230602782,True
56,0.37574625747992896,0.3004077376276172,0.16637902235921365,0.15746698253324018,0.8851637849337318,0.5919245730020778,0.23785862444005307,True
57,0.4443653662302949,0.22204743576332656,0.18054323761234978,0.15304396039402876,0.8882407965227463,0.5919921811280131,0.23626675479146897,True
58,0.41737320525428406,0.22830282524948345,0.20635023480008927,0.14797373469614333,0.8880444837711642,0.5956960991340288,0.24215964329672504,True
59,0.4107027775201789,0.28970743789276954,0.1679373736189309,0.13165241096812064,0.885955736500782,0.5939656795495879,0.2382056913773295,True
60,0.4259392658116373,0.2631437251466124,0.16804971743274466,0.14286729160900571,0.8868168664679422,0.5923730103515396,0.23636218133378575,True
61,0.39457464476160337,0.27137620145261526,0.19706712325472694,0.13698203053105448,0.8865525196104072,0.5965836725213464,0.2430642038277655,True
62,0.3773556636882928,0.24098288296010212,0.21075055132987397,0.1709109020217312,0.887211655234533,0.5946645892314473,0.24324859939164512,True
63,0.4085141699335582,0.2338816475720021,0.18617495203557163,0.17142923045886804,0.8875063045639583,0.5914631673968644,0.237678706167954,True
64,0.4588321918730786,0.21434976318214213,0.16832603952100958,0.1584920054237698,0.8884718559701795,0.5898659537691044,0.23311740858159175,True
65,0.3655731749874449,0.3007158960642571,0.19676798793279834,0.13694294101549967,0.885419715385434,0.5973041053631486,0.24474888870174008,True
66,0.4692779740151906,0.21744407147443423,0.18352955319646294,0.12974840131391221,0.8887584303133524,0.5941552269451357,0.23721075686835016,True
67,0.40511916218014116,0.2419078341124384,0.1968054779389532,0.1561675257684673,0.8874089061811303,0.5942143284028008,0.24076641526100648,True
68,0.34739401556190475,0.27398332504364653,0.22676350883454907,0.15185915055989968,0.8861989431622814,0.5990212580693,0.2490437657870166,True
69,0.3627530904904003,0.24496552043726977,0.22496137481764303,0.16732001425468687,0.8870945310845268,0.5967838305848132,0.24654596251180375,True
70,0.3806201401446566,0.25395533502624434,0.208309404438983,0.15711512039011605,0.886916366101429,0.5958388647987045,0.2438625284314855,True
71,0.4288154305902663,0.25185649084367906,0.17088142281290913,0.14844665575314553,0.8871676213032896,0.5919663559226676,0.23613968510364367,True
72,0.4189835740941846,0.2180695831131559,0.23519984246423428,0.12774700032842523,0.8887051133102974,0.6005939992661816,0.2480933597791921,True
73,0.43349807761492976,0.19444673257596642,0.21072665297379542,0.16132853683530843,0.88915104049177,0.594256252113999,0.24071834449563695,True
74,0.41897881018589866,0.24625810126695843,0.19542113911886355,0.13934194942827946,0.8874902178468325,0.5955448366425504,0.24116523176076915,True
75,0.43943933219753706,0.21095884928487232,0.20051268550395965,0.1490891330136309,0.8887048686013617,0.5944518115122998,0.23987944363714778,True
76,0.43433410774850145,0.2339568589761469,0.18125976632291815,0.15044926695243338,0.887818009519611,0.5925985990136559,0.23719141683250874,True
77,0.3942298749626402,0.23262030830857217,0.21550166737052967,0.15764814935825786,0.8877247638645943,0.5961181166194499,0.24408168090975213,True
78,0.3870431189186086,0.2565230819953983,0.20512143824466952,0.1513123608413235,0.8869062370841282,0.5959968650935542,0.24349734770057913,True
79,0.37695593391495835,0.2659230338009599,0.18193618133094047,0.1751848509531414,0.8862176779723666,0.591463160514988,0.23860438657829366,True
80,0.4430870055642805,0.2355812743764102,0.17687645426503973,0.14445526579426946,0.8878485051838517,0.5926033648467803,0.2365252528737637,True
81,0.4153392683252515,0.24172816619548437,0.20444959032945054,0.13848297514981364,0.887667668367875,0.5965927252238136,0.2428036499639484,True
82,0.42083836065604574,0.2285828387903104,0.2185689256287601,0.13200987492488367,0.8882549471210742,0.5984985405681762,0.24513601899038456,True
83,0.412730762047654,0.2738393343010975,0.16327464743885106,0.1501552562123973,0.8863016423444042,0.5914688249207439,0.23581532445509515,True
84,0.3525974096278962,0.28670535425491833,0.17540652019485284,0.18529071592233254,0.8852731750010385,0.5903733031409928,0.23821943647887928,True
85,0.3360820059315588,0.2907804806412176,0.22020288197021712,0.15293463145700645,0.8855414839575019,0.5985694282141282,0.24864546928721654,True
86,0.4063646850325227,0.2551179925998994,0.21511374056727497,0.12340358180030278,0.8873602892018104,0.5994706734396472,0.24621295603466942,True
87,0.4301166495676482,0.21744428974810276,0.21722460481269196,0.13521445587155712,0.8886396753546737,0.5977856311266682,0.24411053144298026,True
88,0.4038211730094399,0.25312424706544556,0.19412011534387424,0.14893446458124038,0.8870850808270878,0.5947731546946863,0.2410574431805134,True
89,0.41042014893235607,0.25979067419227897,0.18503224394658055,0.14475693292878455,0.8868993288108686,0.5941879497958606,0.23966221385833433,True
90,0.48072657302921573,0.21727442403988811,0.17360387566024407,0.12839512727065205,0.8887961814268833,0.5930602828656754,0.2351616202235469,True
91,0.4052630336286228,0.23048884386154853,0.21151011033837963,0.15273801217144903,0.8878839812452795,0.5959845654247193,0.24324618096481188,True
92,0.3658981923124882,0.2840273400814506,0.2165729267987173,0.1335015408073439,0.886092800594164,0.5995576983341742,0.24798082879861089,True
93,0.4151389401588211,0.254001724801906,0.18943228941458798,0.1414270456246848,0.8871670771319111,0.5948465673221217,0.2403218061140665,True
94,0.43986206463329325,0.22826442238886677,0.17852289980678002,0.15335061317106008,0.887998340401313,0.5918818808340386,0.236206879439735,True
95,0.38058959598459385,0.27356721669021766,0.2072378959199244,0.13860529140526406,0.8864324055359852,0.5977379612882391,0.2452779608854386,True
96,0.35422677483809334,0.2782472705609344,0.20255846262447919,0.16496749197649302,0.8858685579085019,0.5951191357114708,0.24390660826574703,True
97,0.3522391032675636,0.2962236194497996,0.2192329320996973,0.13230434518293965,0.885636138895074,0.6002917013996911,0.24929293038892472,True
98,0.41789309570076766,0.2710561324880103,0.16245045874541064,0.14860031306581148,0.8864330278754402,0.5914256645844134,0.23551715599775497,True
99,0.44111435261573634,0.22397624797683696,0.19191991100367123,0.14298948840375553,0.8883014586776893,0.5942480448813403,0.23901464804583075,True
100,0.36491778563534555,0.2891575115423126,0.22045518559437566,0.1254695172279663,0.8860084714034636,0.600821471160132,0.24930203252589933,True
101,0.42800564256038787,0.25698607064008366,0.16308214787252348,0.15192613892700496,0.8869270051324998,0.5908667981180471,0.23472690869697105,True
102,0.3339547818591875,0.2971764856442712,0.21131074581352216,0.1575579866830191,0.8852363224656806,0.5972757789299054,0.24705058564019147,True
103,0.3631824496693785,0.3145723270826768,0.17625398329635214,0.14599123995159274,0.8847742818090544,0.5944298923957765,0.24105726883974757,True
104,0.35310412509219974,0.28595374644914523,0.181098240157635,0.17984388830102005,0.885375991556287,0.5914921526595743,0.23950266062222547,True
105,0.4659338541307145,0.2232259621700045,0.1758853561085202,0.13495482759076077,0.8884669943229295,0.5929488993526559,0.23582515782648295,True
106,0.39817603299168414,0.26753524130182116,0.1710214263642705,0.16326729934222417,0.8863433099156325,0.5911646984178909,0.23672409520006113,True
107,0.32596150310154254,0.27737708193166594,0.23194968456538897,0.16471173040140247,0.8858726019456349,0.5986774366514015,0.2500014000877727,True
108,0.42707986818495525,0.28076120259606585,0.16146563068297856,0.13069329853600042,0.8863229000712775,0.5930311803657549,0.23634570973425645,True
109,0.3512790754327599,0.2587708617478363,0.22690865488483244,0.16304140793457142,0.8866218911633332,0.5977267485811715,0.24788352074702133,True
110,0.446337252446235,0.2108706623405765,0.2140489549494547,0.1287431302637337,0.8889926135032367,0.5977654643583447,0.24322091669494797,True
111,0.35293766730433473,0.26324555666703764,0.23160243778889894,0.15221433823972866,0.8866031404989045,0.5993022883004782,0.24940652952901352,True
112,0.35468752797255604,0.28229861848425675,0.17629500056718775,0.18671885297599955,0.8854214118000948,0.5902500620466158,0.23810635399167296,True
113,0.45673705899748274,0.2289443035421675,0.1762943159267168,0.13802432153363292,0.888200353481156,0.592892344240465,0.2361726434405212,True
114,0.43205573587912677,0.2227822020527197,0.20182335099753235,0.14333871107062118,0.8883312171174472,0.5953880115249913,0.24100358408604813,True
115,0.4116430574056116,0.21454270880287002,0.23571456888133427,0.1380996649101841,0.8886883172989885,0.5997126939161125,0.2477269591487596,True
116,0.3851974236826427,0.25211884059566075,0.19791911781618485,0.16476461790551167,0.8868864426932834,0.5939030063856479,0.24138752805017724,True
117,0.3675064478698183,0.2681702300007679,0.20561396987374916,0.15870935225566465,0.8863466616240616,0.5957460905747243,0.2441047857531081,True
118,0.3883962384867463,0.24445175778408976,0.20875534531784576,0.1583966584113181,0.8872642122176686,0.5955432213702442,0.2433573913310004,True
119,0.38651560507488225,0.25978883391516233,0.2097129040664619,0.1439826569434935,0.8868828013590988,0.5972407797951679,0.24483783632150202,True
120,0.40430446749900856,0.23263746668579172,0.21721834883995753,0.14583971697524217,0.8878960908979222,0.597299496078288,0.24474248296242151,True
121,0.36233828841653476,0.2689873468948411,0.22014898180184622,0.1485253828867779,0.8864486048805483,0.5983665834002015,0.24744961995224296,True
122,0.3945459100201274,0.24595028268629632,0.2072072580267057,0.15229654926687056,0.8872979184476569,0.5958968719922747,0.24327874189346507,True
123,0.4112482839949872,0.22444937228498477,0.21608966062796622,0.14821268309206176,0.8881788151801944,0.5967569954924186,0.24395885069342177,True
124,0.3924628842375612,0.26492060126603145,0.1905205751959001,0.1520959393005073,0.8865867719281374,0.5943796333260186,0.24092691427116725,True
125,0.39433240217297694,0.25993893606075497,0.21044782168975268,0.1352808400765154,0.8870043448836726,0.5980506822773445,0.24522222384803563,True
126,0.3882460514492368,0.2695734051985901,0.17826949468493605,0.16391104866723696,0.886246846581412,0.592041806260199,0.23834315971759248,True
127,0.42142665489482206,0.22344320911424093,0.17505440324819752,0.18007573274273958,0.8877949128630455,0.5891358153352207,0.23451376860417633,True
128,0.3762786123881191,0.26092099035218946,0.2136351724381224,0.14916522482156905,0.886758264106538,0.5973178286455687,0.24559243870668282,True
129,0.3796001139314475,0.28121607298202517,0.1652569316572658,0.1739268814292615,0.8856641921845121,0.5899395178690386,0.23606222105951358,True
130,0.44694087676404276,0.23198031738958705,0.16847916250188485,0.15259964334448525,0.8878772117339088,0.5908227881134231,0.23434897024236923,True
131,0.34186828292804505,0.2383890966431668,0.2385729582242379,0.18116966220455033,0.8871292024997953,0.597122217707867,0.2486449181034841,True
132,0.42162472655575445,0.21967930347350093,0.20439090255246117,0.15430506741828354,0.8882866693219142,0.5947156425006085,0.2410756171256022,True
133,0.406637880612977,0.28108159333752863,0.17120859177953066,0.14107193426996376,0.8861465880656098,0.5933641642010201,0.238135471738435,True
134,0.4191713364339433,0.22449277438407594,0.17977313413800128,0.1765627550439795,0.8878007484642062,0.5900237280711023,0.235651606831527,True
135,0.4193791474033753,0.2241285931726079,0.1991625401223291,0.15732971930168782,0.8880761229356857,0.5939474569873616,0.2401710362486506,True
